command,syntax,formats,implementation,test_count,source_sha256,upstream_source,input,exit_status,go_test,difference
cellToLatLng,-c|--cell! -f|--format?,json|wkt|newline,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToLatLng),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
latLngToCell,-r|--resolution! --lat|--latitude! --lng|--longitude! -f|--format?,json|newline,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(latLngToCell),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToBoundary,-c|--cell! -f|--format?,json|wkt|newline,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToBoundary),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getResolution,-c|--cell!,,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getResolution),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getBaseCellNumber,-c|--cell!,,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getBaseCellNumber),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getIndexDigit,-c|--cell! -r|--res!,,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getIndexDigit),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
constructCell,-r|--resolution? -b|--baseCell! -d|--digits? -f|--format?,json|newline,internal/cli/commands_indexing.go::indexingCommands,22,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(constructCell),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
stringToInt,-c|--cell!,,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(stringToInt),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
intToString,-c|--cell!,,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(intToString),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
isValidCell,-c|--cell! -f|--format?,json|numeric,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(isValidCell),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
isResClassIII,-c|--cell! -f|--format?,json|numeric,internal/cli/commands_indexing.go::indexingCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(isResClassIII),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
isPentagon,-c|--cell! -f|--format?,json|numeric,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(isPentagon),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getIcosahedronFaces,-c|--cell! -f|--format?,json|newline,internal/cli/commands_indexing.go::indexingCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getIcosahedronFaces),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
gridDisk,-c|--cell! -k! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(gridDisk),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
gridDiskDistances,-c|--cell! -k! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(gridDiskDistances),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
gridRing,-c|--cell! -k! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(gridRing),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
gridPathCells,-o|--origin! -d|--destination! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(gridPathCells),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
gridDistance,-o|--origin! -d|--destination!,,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(gridDistance),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToLocalIj,-c|--cell! -o|--origin! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToLocalIj),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
localIjToCell,-o|--origin! -i! -j! -f|--format?,json|newline,internal/cli/commands_grid.go::gridCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(localIjToCell),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToParent,-c|--cell! -r|--resolution! -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToParent),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToChildren,-c|--cell! -r|--resolution! -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToChildren),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToChildrenSize,-c|--cell! -r|--resolution!,,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToChildrenSize),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToCenterChild,-c|--cell! -r|--resolution! -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToCenterChild),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToChildPos,-c|--cell! -r|--resolution!,,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToChildPos),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
childPosToCell,-c|--cell! -r|--resolution! -p|--position! -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(childPosToCell),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
compactCells,-i|--file? -c|--cells? -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,9,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(compactCells),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
uncompactCells,-i|--file? -c|--cells? -r|--resolution! -f|--format?,json|newline,internal/cli/commands_grid.go::hierarchyCommands,11,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(uncompactCells),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
polygonToCells,-i|--file? -p|--polygon? -r|--resolution! -f|--format?,json|newline,internal/cli/commands_region_edge.go::regionCommands,8,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(polygonToCells),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
maxPolygonToCellsSize,-i|--file? -p|--polygon? -r|--resolution!,,internal/cli/commands_region_edge.go::regionCommands,8,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(maxPolygonToCellsSize),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellsToMultiPolygon,-i|--file? -c|--cells? -f|--format?,json|wkt,internal/cli/commands_region_edge.go::regionCommands,14,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellsToMultiPolygon),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
areNeighborCells,-o|--origin! -d|--destination! -f|--format?,json|numeric,internal/cli/commands_region_edge.go::edgeCommands,3,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(areNeighborCells),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellsToDirectedEdge,-o|--origin! -d|--destination! -f|--format?,json|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellsToDirectedEdge),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
isValidDirectedEdge,-c|--cell! -f|--format?,json|numeric,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(isValidDirectedEdge),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getDirectedEdgeOrigin,-c|--cell! -f|--format?,json|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getDirectedEdgeOrigin),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getDirectedEdgeDestination,-c|--cell! -f|--format?,json|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getDirectedEdgeDestination),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
directedEdgeToCells,-c|--cell! -f|--format?,json|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(directedEdgeToCells),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
