file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
algos__directionForNeighbor.go,ported-impl,h3,"-",1,0,0
algos__directionForNeighbor_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__getEdgeHexagons.go,ported-impl,h3,"-",1,0,0
algos__getEdgeHexagons_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridDisk.go,ported-impl,h3,"-",1,0,0
algos__gridDiskDistances.go,ported-impl,h3,"-",1,0,0
algos__gridDiskDistancesInternal.go,ported-impl,h3,"-",1,0,0
algos__gridDiskDistancesInternal_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridDiskDistancesSafe.go,ported-impl,h3,"-",1,0,0
algos__gridDiskDistancesSafe_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridDiskDistancesUnsafe.go,ported-impl,h3,"-",1,0,0
algos__gridDiskDistancesUnsafe_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridDiskDistances_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridDisk_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridRingInternal.go,ported-impl,h3,"-",1,0,0
algos__gridRingInternal_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridRingInternal_test.go,ported-internal-test,h3,"-",0,0,-
algos__gridRingUnsafe.go,ported-impl,h3,"-",1,0,0
algos__gridRingUnsafe_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__gridRingUnsafe_test.go,ported-internal-test,h3,"-",0,0,-
algos__h3NeighborRotations.go,ported-impl,h3,"-",1,0,0
algos__h3NeighborRotations_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__h3NeighborRotations_test.go,ported-internal-test,h3,"-",0,0,-
algos__maxGridDiskSize.go,ported-impl,h3,"-",1,0,0
algos__maxGridDiskSize_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos__vertexGraphToLinkedGeo.go,ported-impl,h3,"-",1,0,0
algos__vertexGraphToLinkedGeo_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos_cellsToLinkedMultiPolygon.go,ported-impl,h3,"-",1,0,0
algos_cellsToLinkedMultiPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
algos_cellsToLinkedMultiPolygon_test.go,ported-internal-test,h3,"-",0,0,-
algos_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
